"Week 1","","",""
"","4:25 pm","Atlanta Falcons","New Orleans Saints"
"","4:25 pm","Philadelphia Eagles","Dallas Cowboys"
"","8:20 pm","Tampa Bay Buccaneers","Los Angeles Rams"
"Mon Nov 24","8:15 pm","Carolina Panthers","San Francisco 49ers"
"Bye: Denver, L.A. Chargers, Miami, Washington","","",""
"Week 13","","",""
"Date","Time (ET)","Away Team","Home Team"
"Thu Nov 27","1:00 pm","Green Bay Packers","Detroit Lions"
"","4:30 pm","Kansas City Chiefs","Dallas Cowboys"
"","8:20 pm","Cincinnati Bengals","Baltimore Ravens"
"Fri Nov 28","3:00 pm","Chicago Bears","Philadelphia Eagles"
"Sun Nov 30","1:00 pm","Arizona Cardinals","Tampa Bay Buccaneers"
"","1:00 pm","Atlanta Falcons","New York Jets"
"","1:00 pm","Houston Texans","Indianapolis Colts"
"","1:00 pm","Jacksonville Jaguars","Tennessee Titans"
"","1:00 pm","Los Angeles Rams","Carolina Panthers"
"","1:00 pm","New Orleans Saints","Miami Dolphins"
"","1:00 pm","San Francisco 49ers","Cleveland Browns"
"","4:05 pm","Minnesota Vikings","Seattle Seahawks"
"","4:25 pm","Buffalo Bills","Pittsburgh Steelers"
"","4:25 pm","Las Vegas Raiders","Los Angeles Chargers"
"","8:20 pm","Denver Broncos","Washington Commanders"
"Mon Dec 1","8:15 pm","New York Giants","New England Patriots"
"Week 14","","",""
"Date","Time (ET)","Away Team","Home Team"
"Thu Dec 4","8:15 pm","Dallas Cowboys","Detroit Lions"
"Sun Dec 7","1:00 pm","Chicago Bears","Green Bay Packers"
"","1:00 pm","Indianapolis Colts","Jacksonville Jaguars"
"","1:00 pm","Miami Dolphins","New York Jets"
"","1:00 pm","New Orleans Saints","Tampa Bay Buccaneers"
"","1:00 pm","Pittsburgh Steelers","Baltimore Ravens"
"","1:00 pm","Seattle Seahawks","Atlanta Falcons"
"","1:00 pm","Tennessee Titans","Cleveland Browns"
"","1:00 pm","Washington Commanders","Minnesota Vikings"
"","4:05 pm","Denver Broncos","Las Vegas Raiders"
