"Week 1","","",""
"","1:00 pm","Washington Commanders","New York Giants"
"","4:05 pm","Chicago Bears","Arizona Cardinals"
"","4:25 pm","Detroit Lions","Green Bay Packers"
"","4:25 pm","Los Angeles Rams","Seattle Seahawks"
"","8:20 pm","Jacksonville Jaguars","Philadelphia Eagles"
"Mon Nov 4","8:15 pm","Tampa Bay Buccaneers","Kansas City Chiefs"
"Bye: Pittsburgh, San Francisco","","",""
"Week 10","","",""
"Date","Time (ET)","Away Team","Home Team"
"Thu Nov 7","8:15 pm","Cincinnati Bengals","Baltimore Ravens"
"Sun Nov 10","9:30 am","New York Giants","Carolina Panthers ¹"
"","1:00 pm","Atlanta Falcons","New Orleans Saints"
"","1:00 pm","Buffalo Bills","Indianapolis Colts"
"","1:00 pm","Denver Broncos","Kansas City Chiefs"
"","1:00 pm","Minnesota Vikings","Jacksonville Jaguars"
"","1:00 pm","New England Patriots","Chicago Bears"
"","1:00 pm","Pittsburgh Steelers","Washington Commanders"
"","1:00 pm","San Francisco 49ers","Tampa Bay Buccaneers"
"","4:05 pm","Tennessee Titans","Los Angeles Chargers"
"","4:25 pm","New York Jets","Arizona Cardinals"
"","4:25 pm","Philadelphia Eagles","Dallas Cowboys"
"","8:20 pm","Detroit Lions","Houston Texans"
"Mon Nov 11","8:15 pm","Miami Dolphins","Los Angeles Rams"
"¹ This game is being played in Munich. Bye: Cleveland, Green Bay, Las Vegas, Seattle","","",""
"Week 11","","",""
"Date","Time (ET)","Away Team","Home Team"
"Thu Nov 14","8:15 pm","Washington Commanders","Philadelphia Eagles"
"Sun Nov 17","1:00 pm","Baltimore Ravens","Pittsburgh Steelers"
"","1:00 pm","Cleveland Browns","New Orleans Saints"
"","1:00 pm","Green Bay Packers","Chicago Bears"
"","1:00 pm","Jacksonville Jaguars","Detroit Lions"
"","1:00 pm","Las Vegas Raiders","Miami Dolphins"
"","1:00 pm","Los Angeles Rams","New England Patriots"
"","1:00 pm","Minnesota Vikings","Tennessee Titans"
